character	code_point	kMandarin17	CNS11643	policy
㐜	U+341C	chóu	qiú	kMandarin17 retained
㐡	U+3421	nuò	nuò rú	kMandarin17 retained
㐬	U+342C	liú	bù fōu fǒu fū tū liú huāng	kMandarin17 retained
㐰	U+3430	xìn	xìn shēn	kMandarin17 retained
㐵	U+3435	rú	xiè rú	kMandarin17 retained
㐷	U+3437	mǎ	mà	kMandarin17 retained
㐸	U+3438	qiàn	qiàn cì	kMandarin17 retained
㐹	U+3439	yì	qì yì	kMandarin17 retained
㐺	U+343A	yín	pān zhòng yín	kMandarin17 retained
㐼	U+343C	chèng	shēng	kMandarin17 retained
㑃	U+3443	ǎo	ào	kMandarin17 retained
㑇	U+3447	zhòu	zhòu zhū	kMandarin17 retained
㑈	U+3448	dòng	dōng	kMandarin17 retained
㑋	U+344B	qióng	qiòng	kMandarin17 retained
㑌	U+344C	kuāng	kuāng wāng	kMandarin17 retained
㑐	U+3450	shū	shú	kMandarin17 retained
㑘	U+3458	jiè	ga jià jiè	kMandarin17 retained
㑜	U+345C	yì	zhè chì yì	kMandarin17 retained
㑞	U+345E	yìng	yìng yùn	kMandarin17 retained
㑥	U+3465	yì	chǐ shì yì	kMandarin17 retained
㑨	U+3468	yǔ	hóu hòu	kMandarin17 retained
㑱	U+3471	rǎo	náo rǎo	kMandarin17 retained
㑵	U+3475	hàn	jí	kMandarin17 retained
㑹	U+3479	huì	guì kuài huǐ huì	kMandarin17 retained
㑺	U+347A	jùn	jùn zùn	kMandarin17 retained
㒀	U+3480	zhāi	zhǎ zhé	kMandarin17 retained
㒃	U+3483	èr	nì èr	kMandarin17 retained
㒆	U+3486	chì	hé xì shè	kMandarin17 retained
㒈	U+3488	hàn	xiàn	kMandarin17 retained
㒉	U+3489	tǎng	tǎng chǎng	kMandarin17 retained
㒍	U+348D	léi	lěi	kMandarin17 retained
㒑	U+3491	kuǐ	huì	kMandarin17 retained
㒔	U+3494	shú	dú tǔ shǔ	kMandarin17 retained
㒚	U+349A	yìn	yìn wěn	kMandarin17 retained
㒛	U+349B	diào	diǎo	kMandarin17 retained
㒝	U+349D	miè	miè wà	kMandarin17 retained
㒞	U+349E	jùn	jùn zùn	kMandarin17 retained
㒤	U+34A4	chè	chè shè	kMandarin17 retained
㒦	U+34A6	lěi	lěi lèi	kMandarin17 retained
㒷	U+34B7	guǎ	xīng xìng	kMandarin17 retained
㒻	U+34BB	mào	mò mào méng	kMandarin17 retained
㓄	U+34C4	zhèn	chèn	kMandarin17 retained
㓎	U+34CE	qīn	qīn qǐn qìn	kMandarin17 retained
㓝	U+34DD	xíng	xíng chuāng chuàng	kMandarin17 retained
㓞	U+34DE	qià	qì qià	kMandarin17 retained
㓠	U+34E0	diàn	diǎn diàn	kMandarin17 retained
㓡	U+34E1	fǔ	fǒu	kMandarin17 retained
㓣	U+34E3	qià	gē qià	kMandarin17 retained
㓥	U+34E5	tāng	tāng tōng	kMandarin17 retained
㓨	U+34E8	cí	cì	kMandarin17 retained
㓮	U+34EE	diāo	diāo gē	kMandarin17 retained
㓯	U+34EF	lí	lí lǐ	kMandarin17 retained
㓰	U+34F0	huà	huá huà	kMandarin17 retained
㓱	U+34F1	tóu	tóu shū	kMandarin17 retained
㓸	U+34F8	zhuō	dōu lóu zhuó	kMandarin17 retained
㓹	U+34F9	ruì	ruì cuì	kMandarin17 retained
㓺	U+34FA	jiān	jiān qián	kMandarin17 retained
㓽	U+34FD	chóng	chóng chòng	kMandarin17 retained
㓾	U+34FE	xī	qí xī	kMandarin17 retained
㔀	U+3500	lüè	liàng	kMandarin17 retained
㔃	U+3503	jué	jué xuē	kMandarin17 retained
㔉	U+3509	zhǔ	zhú	kMandarin17 retained
㔊	U+350A	zhǎn	dǎn zhǎn	kMandarin17 retained
㔋	U+350B	jiān	làn jiān	kMandarin17 retained
㔌	U+350C	zòu	zòu cǒu	kMandarin17 retained
㔎	U+350E	xiè	xuē	kMandarin17 retained
㔗	U+3517	fèi	bèi fèi	kMandarin17 retained
㔘	U+3518	chù	zhuó chù	kMandarin17 retained
㔚	U+351A	jié	kǒu	kMandarin17 retained
㔜	U+351C	bá	bó	kMandarin17 retained
㔝	U+351D	liǎng	liáng liǎng	kMandarin17 retained
㔞	U+351E	kuài	kuāi	kMandarin17 retained
㔠	U+3520	xiā	hé xiā	kMandarin17 retained
㔡	U+3521	biē	pì	kMandarin17 retained
㔢	U+3522	jué	jué xuē	kMandarin17 retained
㔣	U+3523	léi	léi lèi	kMandarin17 retained
㔥	U+3525	bài	bǎi bài pí	kMandarin17 retained
㔭	U+352D	chè	chí shi	kMandarin17 retained
㔯	U+352F	xuán	xuán suān suǎn	kMandarin17 retained
㔶	U+3536	gòng	gǎn gòng	kMandarin17 retained
㔽	U+353D	yào	yǒu	kMandarin17 retained
㔾	U+353E	xiān	jié	kMandarin17 retained
㕂	U+3542	yín	qín yín	kMandarin17 retained
㕆	U+3546	hù	dǔ hù	kMandarin17 retained
㕉	U+3549	kè	kè ǎn wā	kMandarin17 retained
㕐	U+3550	xiě	xiě xiè	kMandarin17 retained
㕒	U+3552	wēi	wéi	kMandarin17 retained
㕛	U+355B	xù	xiáo yáo yǒu	kMandarin17 retained
㕟	U+355F	kuì	tiān kuài kuì	kMandarin17 retained
㕠	U+3560	shuāng	shuāng shuàng	kMandarin17 retained
㕤	U+3564	qiú	qiú róu	kMandarin17 retained
㕬	U+356C	gōng	gōng zhōng sòng	kMandarin17 retained
㕮	U+356E	fǔ	fǔ fù	kMandarin17 retained
㕯	U+356F	nè	nà	kMandarin17 retained
㕰	U+3570	xuè	mā xuè	kMandarin17 retained
㕲	U+3572	huá	huá yíng	kMandarin17 retained
㕵	U+3575	guó	máng guó	kMandarin17 retained
㕶	U+3576	ň	mò fǔ en	kMandarin17 retained
㕷	U+3577	huà	pā piā huà huò	kMandarin17 retained
㕺	U+357A	xiāo	háo hào xiāo è	kMandarin17 retained
㖃	U+3583	hǒu	gòu hǒu	kMandarin17 retained
㖕	U+3595	niè	niè xīn	kMandarin17 retained
㖖	U+3596	niè	niè xīn	kMandarin17 retained
㖠	U+35A0	nuò	nǎ něi nuó	kMandarin17 retained
㖢	U+35A2	qí	zǐ cí suò	kMandarin17 retained
㖣	U+35A3	tòu	pǒu	kMandarin17 retained
㖧	U+35A7	hūn	hūn wěn	kMandarin17 retained
㖩	U+35A9	jū	dié niè jū zú sǒu	kMandarin17 retained
㖪	U+35AA	huò	guó huò xù yù	kMandarin17 retained
㖵	U+35B5	gé	jù	kMandarin17 retained
㖶	U+35B6	yān	yè yān yàn yīn	kMandarin17 retained
㖸	U+35B8	xué	jù jué xuē	kMandarin17 retained
㖹	U+35B9	pēn	pēn pén pèn fèn	kMandarin17 retained
㖻	U+35BB	niú	niú róu	kMandarin17 retained
㖼	U+35BC	duǒ	móu	kMandarin17 retained
㖽	U+35BD	zé	dié zhì zé	kMandarin17 retained
㖿	U+35BF	xié	yé	kMandarin17 retained
㗇	U+35C7	xiá	xiā	kMandarin17 retained
㗈	U+35C8	màn	mán	kMandarin17 retained
㗉	U+35C9	lüè	lüè è	kMandarin17 retained
㗑	U+35D1	bai	bài bei	kMandarin17 retained
㗕	U+35D5	gòu	gōu gòu	kMandarin17 retained
㗗	U+35D7	bēi	bǐ	kMandarin17 retained
㗙	U+35D9	chū	chú	kMandarin17 retained
㗢	U+35E2	hóng	dòng hóng hòng	kMandarin17 retained
㗤	U+35E4	cù	qī zá zú	kMandarin17 retained
㗥	U+35E5	kuò	guō kuò	kMandarin17 retained
㗧	U+35E7	zhì	dié zhì	kMandarin17 retained
㗨	U+35E8	xiē	xiē ǎi	kMandarin17 retained
㗬	U+35EC	zhā	chā	kMandarin17 retained
㗲	U+35F2	huò	huà huò	kMandarin17 retained
㗳	U+35F3	tǎ	dā tǎ tà	kMandarin17 retained
㗵	U+35F5	xù	hū xù chuā	kMandarin17 retained
㗻	U+35FB	guō	guō hé	kMandarin17 retained
㗿	U+35FF	hé	hē hě qiè xiā xià	kMandarin17 retained
㘆	U+3606	tǎi	tái	kMandarin17 retained
㘈	U+3608	yì	nǐ yì	kMandarin17 retained
㘉	U+3609	zhì	jié	kMandarin17 retained
㘊	U+360A	xī	xī yì	kMandarin17 retained
㘌	U+360C	jù	jù jué xuē	kMandarin17 retained
㘔	U+3614	sǎi	sāi sái sǎi	kMandarin17 retained
㘕	U+3615	hǎn	lán làn hǎn	kMandarin17 retained
㘜	U+361C	chǐ	chóu	kMandarin17 retained
㘝	U+361D	niè	nì	kMandarin17 retained
㘞	U+361E	huò	duò huò	kMandarin17 retained
㘠	U+3620	bì	bī	kMandarin17 retained
㘡	U+3621	xiá	jiǎ xiá	kMandarin17 retained
㘣	U+3623	xuán	xuān	kMandarin17 retained
㘥	U+3625	yóu	é yóu	kMandarin17 retained
㘨	U+3628	niè	niè kuài	kMandarin17 retained
㘫	U+362B	jǐng	jìng	kMandarin17 retained
㘬	U+362C	ào	bì fó fú āo ào wù	kMandarin17 retained
㘭	U+362D	ào	huàn āo ào	kMandarin17 retained
㘷	U+3637	ài	ài yì	kMandarin17 retained
㘸	U+3638	zàng	zàng zuò	kMandarin17 retained
㘹	U+3639	cí	jí	kMandarin17 retained
㙀	U+3640	liù	liù jiù	kMandarin17 retained
㙉	U+3649	tiǎn	diǎn tiǎn	kMandarin17 retained
㙊	U+364A	cháng	zhàng	kMandarin17 retained
㙍	U+364D	duō	duō duó	kMandarin17 retained
㙔	U+3654	wěi	hán wěi	kMandarin17 retained
㙙	U+3659	lǒng	měng	kMandarin17 retained
㙜	U+365C	chí	tái	kMandarin17 retained
㙤	U+3664	xià	hū xià	kMandarin17 retained
㙨	U+3668	jì	jī qí	kMandarin17 retained
㙮	U+366E	dā	dā da	kMandarin17 retained
㙲	U+3672	yǒng	yōng yǒng	kMandarin17 retained
㙳	U+3673	kǎn	kǎn hǎn	kMandarin17 retained
㙷	U+3677	zhí	zhí zhé	kMandarin17 retained
㙸	U+3678	bào	pú	kMandarin17 retained
㙺	U+367A	kuí	guì	kMandarin17 retained
㙼	U+367C	lěi	lěi lǜ	kMandarin17 retained
㙾	U+367E	xì	hú què xué	kMandarin17 retained
㚇	U+3687	zōng	zōng zòng	kMandarin17 retained
㚌	U+368C	huà	huǒ	kMandarin17 retained
㚔	U+3694	niè	niè xìng	kMandarin17 retained
㚕	U+3695	fú	bì fú	kMandarin17 retained
㚜	U+369C	yù	xù yù	kMandarin17 retained
㚝	U+369D	zhuī	kuī jùn	kMandarin17 retained
㚢	U+36A2	nú	nú wǔ	kMandarin17 retained
㚣	U+36A3	xiáo	jiāo jiǎo	kMandarin17 retained
㚦	U+36A6	yí	jī	kMandarin17 retained
㚨	U+36A8	shěn	shēn	kMandarin17 retained
㚯	U+36AF	xín	xún	kMandarin17 retained
㚰	U+36B0	pēi	bǐ	kMandarin17 retained
㚲	U+36B2	chān	diǎn diàn chè chān	kMandarin17 retained
㚴	U+36B4	bù	pù	kMandarin17 retained
㚶	U+36B6	sì	jī sì	kMandarin17 retained
㚷	U+36B7	ěr	nǎi	kMandarin17 retained
㚹	U+36B9	mǎo	miáo	kMandarin17 retained
㛀	U+36C0	chú	chú zòu	kMandarin17 retained
㛆	U+36C6	duò	duǒ duò	kMandarin17 retained
㛐	U+36D0	sǒu	sǎo	kMandarin17 retained
㛕	U+36D5	yì	è yì yà	kMandarin17 retained
㛗	U+36D7	qiē	qiē zuō suō	kMandarin17 retained
㛚	U+36DA	tǒng	tǒng yǒng	kMandarin17 retained
㛛	U+36DB	xìn	zhèn chén shēn	kMandarin17 retained
㛤	U+36E4	lí	lí lì	kMandarin17 retained
㛩	U+36E9	zhóu	zhóu zhú	kMandarin17 retained
㛪	U+36EA	yàn	yān yàn	kMandarin17 retained
㛫	U+36EB	xī	xí	kMandarin17 retained
㛭	U+36ED	xī	xí	kMandarin17 retained
㛯	U+36EF	fàn	miǎn fàn fù zhuàn wǎn	kMandarin17 retained
㛱	U+36F1	wěi	wēi wěi	kMandarin17 retained
㛲	U+36F2	fà	fǎ	kMandarin17 retained
㛺	U+36FA	ān	ā āng yān	kMandarin17 retained
㛼	U+36FC	chā	chā shà	kMandarin17 retained
㜄	U+3704	xún	xín	kMandarin17 retained
㜇	U+3707	huì	huì yè	kMandarin17 retained
㜑	U+3711	fú	pó	kMandarin17 retained
㜗	U+3717	cān	cān sēn	kMandarin17 retained
㜘	U+3718	jù	jiē qù chá	kMandarin17 retained
㜛	U+371B	nèn	nèn ruǎn	kMandarin17 retained
㜝	U+371D	ǎn	ān ǎn yǎn	kMandarin17 retained
㜞	U+371E	qiàn	qiàn cán	kMandarin17 retained
㜣	U+3723	rán	shǎn rán	kMandarin17 retained
㜤	U+3724	niǎn	tán tiǎn niǎn shěn	kMandarin17 retained
㜦	U+3726	xín	xún	kMandarin17 retained
㜧	U+3727	yuè	yuē	kMandarin17 retained
㜪	U+372A	shēn	xiǎn xīn	kMandarin17 retained
㜫	U+372B	mà	měi	kMandarin17 retained
㜮	U+372E	làn	lán làn	kMandarin17 retained
㜱	U+3731	zhì	zhí	kMandarin17 retained
