character	code_point	readings	tier	references	details
㐟	U+341F	fēi	cns11643	CNS-20260805:14-537E	CJK認同表意文字延伸A, CNS 14649
㐶	U+3436	huā huà	cns11643	CNS-20260805:15-2144	內政部戶政用字(《CNS 11643》96年公布)
㐾	U+343E	yuán	cns11643	CNS-20260805:15-2172	內政部戶政用字(《CNS 11643》96年公布)
㑀	U+3440	tài	cns11643	CNS-20260805:14-4D52	CJK認同表意文字延伸A, CNS 14649
㑑	U+3451	zá zán	cns11643	CNS-20260805:3-2750	異體國字字表(《CNS 11643》96年公布)
㑓	U+3453	jùn	cns11643	CNS-20260805:15-254A	內政部戶政用字(《CNS 11643》96年公布)
㑠	U+3460	shù	cns11643	CNS-20260805:14-5427	CJK認同表意文字延伸A, CNS 14649
㑢	U+3462	jué	cns11643	CNS-20260805:14-5429	CJK認同表意文字延伸A, CNS 14649
㑫	U+346B	qǐ	cns11643	CNS-20260805:14-5775	CJK認同表意文字延伸A, CNS 14649
㑭	U+346D	bǐ bì pì	cns11643	CNS-20260805:14-5777	CJK認同表意文字延伸A, CNS 14649
㑲	U+3472	bèi	cns11643	CNS-20260805:14-5B50	CJK認同表意文字延伸A, CNS 14649
㒬	U+34AC	wāng	cns11643	CNS-20260805:15-265A	內政部戶政用字(《CNS 11643》96年公布)
㒭	U+34AD	kūn	cns11643	CNS-20260805:4-2B69	異體國字字表(《CNS 11643》96年公布)
㒯	U+34AF	huá yè	cns11643	CNS-20260805:3-5754	異體國字字表(《CNS 11643》96年公布)
㒶	U+34B6	gōng chǐ	cns11643	CNS-20260805:6-257D	異體國字字表(《CNS 11643》96年公布)
㒹	U+34B9	diān	cns11643	CNS-20260805:7-4D3D	異體國字字表(《CNS 11643》96年公布)
㓇	U+34C7	wù wò	cns11643	CNS-20260805:3-2321	異體國字字表(《CNS 11643》96年公布)
㓕	U+34D5	miè	cns11643	CNS-20260805:3-397C	異體國字字表(《CNS 11643》96年公布)
㓛	U+34DB	gōng	cns11643	CNS-20260805:6-2241	異體國字字表(《CNS 11643》96年公布)
㓬	U+34EC	kū	cns11643	CNS-20260805:5-2B7C	罕用國字標準字體表(《CNS 11643》96年公布)
㓻	U+34FB	pī gāng gǎng	cns11643	CNS-20260805:3-3A22	異體國字字表(《CNS 11643》96年公布)
㔇	U+3507	pō	cns11643	CNS-20260805:3-457C	罕用國字標準字體表(《CNS 11643》96年公布)
㔐	U+3510	qiān	cns11643	CNS-20260805:7-3E7D	異體國字字表(《CNS 11643》96年公布)
㔫	U+352B	zuǒ	cns11643	CNS-20260805:14-4C39	CJK認同表意文字延伸A, CNS 14649
㔬	U+352C	zhuō zhuó	cns11643	CNS-20260805:6-2972	異體國字字表(《CNS 11643》96年公布)
㔻	U+353B	pēi pī	cns11643	CNS-20260805:3-232C	異體國字字表(《CNS 11643》96年公布)
㕀	U+3540	yóu	cns11643	CNS-20260805:6-2864	異體國字字表(《CNS 11643》96年公布)
㕍	U+354D	duī zuī	cns11643	CNS-20260805:3-2F71	異體國字字表(《CNS 11643》96年公布)
㕓	U+3553	chán	cns11643	CNS-20260805:14-6A3E	CJK認同表意文字延伸A, CNS 14649
㕔	U+3554	tīng	cns11643	CNS-20260805:3-6070	異體國字字表(《CNS 11643》96年公布)
㕘	U+3558	shēn cān cēn sān	cns11643	CNS-20260805:3-3456	異體國字字表(《CNS 11643》96年公布)
㕳	U+3573	xiōng	cns11643	CNS-20260805:3-247A	異體國字字表(《CNS 11643》96年公布)
㕼	U+357C	hōng xiōng	cns11643	CNS-20260805:6-2A39	異體國字字表(《CNS 11643》96年公布)
㖄	U+3584	zhōu zhù	cns11643	CNS-20260805:3-2B5A	異體國字字表(《CNS 11643》96年公布)
㖈	U+3588	lǎo	cns11643	CNS-20260805:15-295C	內政部戶政用字(《CNS 11643》96年公布)
㖉	U+3589	qǐ	cns11643	CNS-20260805:14-5436	CJK認同表意文字延伸A, CNS 14649
㖴	U+35B4	wěn	cns11643	CNS-20260805:3-3853	罕用國字標準字體表(《CNS 11643》96年公布)
㗍	U+35CD	zhāi	cns11643	CNS-20260805:3-3A3F	異體國字字表(《CNS 11643》96年公布)
㗎	U+35CE	jià	cns11643	CNS-20260805:14-5F29	CJK認同表意文字延伸A, CNS 14649
㗐	U+35D0	kē kè hé	cns11643	CNS-20260805:3-3A3A	異體國字字表(《CNS 11643》96年公布)
㗞	U+35DE	pò	cns11643	CNS-20260805:14-6249	CJK認同表意文字延伸A, CNS 14649
㗪	U+35EA	pī	cns11643	CNS-20260805:3-4B3A	罕用國字標準字體表(《CNS 11643》96年公布)
㗺	U+35FA	sà	cns11643	CNS-20260805:14-6733	CJK認同表意文字延伸A, CNS 14649
㘃	U+3603	nuò rě	cns11643	CNS-20260805:14-6879	CJK認同表意文字延伸A, CNS 14649
㘟	U+361F	chuāng	cns11643	CNS-20260805:3-233D	罕用國字標準字體表(《CNS 11643》96年公布)
㘯	U+362F	cháng chǎng	cns11643	CNS-20260805:3-253B	異體國字字表(《CNS 11643》96年公布)
㘳	U+3633	qiū	cns11643	CNS-20260805:3-282B	異體國字字表(《CNS 11643》96年公布)
㘻	U+363B	yān yīn	cns11643	CNS-20260805:3-2B6F	異體國字字表(《CNS 11643》96年公布)
㘽	U+363D	zhì zāi	cns11643	CNS-20260805:14-544A	CJK認同表意文字延伸A, CNS 14649
㙋	U+364B	qí	cns11643	CNS-20260805:15-3357	內政部戶政用字(《CNS 11643》96年公布)
㙌	U+364C	sù	cns11643	CNS-20260805:14-5B6B	CJK認同表意文字延伸A, CNS 14649
㙧	U+3667	liù	cns11643	CNS-20260805:7-216A	異體國字字表(《CNS 11643》96年公布)
㙭	U+366D	jué	cns11643	CNS-20260805:15-4E25	內政部戶政用字(《CNS 11643》96年公布)
㚄	U+3684	dì tì zhì	cns11643	CNS-20260805:3-4D41	異體國字字表(《CNS 11643》96年公布)
㚎	U+368E	qù	cns11643	CNS-20260805:3-223A	異體國字字表(《CNS 11643》96年公布)
㚮	U+36AE	dān	cns11643	CNS-20260805:3-2554	異體國字字表(《CNS 11643》96年公布)
㚳	U+36B3	ē	cns11643	CNS-20260805:3-2842	異體國字字表(《CNS 11643》96年公布)
㚸	U+36B8	sī	cns11643	CNS-20260805:3-2834	罕用國字標準字體表(《CNS 11643》96年公布)
㚼	U+36BC	hǎo	cns11643	CNS-20260805:3-2836	罕用國字標準字體表(《CNS 11643》96年公布)
㛉	U+36C9	xǐ	cns11643	CNS-20260805:15-2A2A	內政部戶政用字(《CNS 11643》96年公布)
㛡	U+36E1	wán	cns11643	CNS-20260805:15-2E6B	內政部戶政用字(《CNS 11643》96年公布)
㛢	U+36E2	xiù	cns11643	CNS-20260805:15-2E78	內政部戶政用字(《CNS 11643》96年公布)
㛰	U+36F0	hūn	cns11643	CNS-20260805:3-3A74	異體國字字表(《CNS 11643》96年公布)
㛽	U+36FD	xiān shān	cns11643	CNS-20260805:3-3A70	異體國字字表(《CNS 11643》96年公布)
