character	code_point	reason
㐂	U+3402	no accepted official reading
㐇	U+3407	no accepted official reading
㐈	U+3408	no accepted official reading
㐉	U+3409	no accepted official reading
㐊	U+340A	no accepted official reading
㐋	U+340B	no accepted official reading
㐍	U+340D	no accepted official reading
㐎	U+340E	no accepted official reading
㐏	U+340F	no accepted official reading
㐐	U+3410	no accepted official reading
㐑	U+3411	no accepted official reading
㐒	U+3412	no accepted official reading
㐓	U+3413	no accepted official reading
㐔	U+3414	no accepted official reading
㐕	U+3415	no accepted official reading
㐗	U+3417	no accepted official reading
㐘	U+3418	no accepted official reading
㐙	U+3419	no accepted official reading
㐚	U+341A	no accepted official reading
㐛	U+341B	no accepted official reading
㐝	U+341D	no accepted official reading
㐞	U+341E	no accepted official reading
㐠	U+3420	no accepted official reading
㐢	U+3422	no accepted official reading
㐣	U+3423	no accepted official reading
㐥	U+3425	no accepted official reading
㐦	U+3426	no accepted official reading
㐿	U+343F	no accepted official reading
㑆	U+3446	no accepted official reading
㑕	U+3455	no accepted official reading
㑖	U+3456	no accepted official reading
㑡	U+3461	no accepted official reading
㑬	U+346C	no accepted official reading
㒏	U+348F	no accepted official reading
㒐	U+3490	no accepted official reading
㒘	U+3498	no accepted official reading
㒢	U+34A2	no accepted official reading
㒣	U+34A3	no accepted official reading
㒮	U+34AE	no accepted official reading
㒱	U+34B1	no accepted official reading
㓀	U+34C0	no accepted official reading
㓆	U+34C6	no accepted official reading
㓍	U+34CD	no accepted official reading
㓙	U+34D9	no accepted official reading
㓫	U+34EB	no accepted official reading
㓿	U+34FF	no accepted official reading
㔈	U+3508	no accepted official reading
㔛	U+351B	no accepted official reading
㔟	U+351F	no accepted official reading
㕝	U+355D	no accepted official reading
㕾	U+357E	no accepted official reading
㕿	U+357F	no accepted official reading
㖋	U+358B	no accepted official reading
㖌	U+358C	no accepted official reading
㖍	U+358D	no accepted official reading
㖎	U+358E	no accepted official reading
㖙	U+3599	no accepted official reading
㖚	U+359A	no accepted official reading
㖛	U+359B	no accepted official reading
㖝	U+359D	no accepted official reading
㖬	U+35AC	no accepted official reading
㖯	U+35AF	no accepted official reading
㖰	U+35B0	no accepted official reading
㖱	U+35B1	no accepted official reading
㖲	U+35B2	no accepted official reading
㖳	U+35B3	no accepted official reading
㗝	U+35DD	no accepted official reading
㗟	U+35DF	no accepted official reading
㗠	U+35E0	no accepted official reading
㗡	U+35E1	no accepted official reading
㗮	U+35EE	no accepted official reading
㗯	U+35EF	no accepted official reading
㘏	U+360F	no accepted official reading
㘒	U+3612	no accepted official reading
㘘	U+3618	no accepted official reading
㘮	U+362E	no accepted official reading
㘼	U+363C	no accepted official reading
㘾	U+363E	no accepted official reading
㙆	U+3646	no accepted official reading
㙖	U+3656	no accepted official reading
㙽	U+367D	no accepted official reading
㚈	U+3688	no accepted official reading
㛇	U+36C7	no accepted official reading
㛈	U+36C8	no accepted official reading
㛌	U+36CC	no accepted official reading
㛟	U+36DF	no accepted official reading
㜀	U+3700	no accepted official reading
㜔	U+3714	no accepted official reading
㜟	U+371F	no accepted official reading
㜭	U+372D	no accepted official reading
㝆	U+3746	no accepted official reading
㞍	U+378D	no accepted official reading
㞝	U+379D	no accepted official reading
㟕	U+37D5	no accepted official reading
㟡	U+37E1	no accepted official reading
㟣	U+37E3	no accepted official reading
㠃	U+3803	no accepted official reading
㠞	U+381E	no accepted official reading
㠤	U+3824	no accepted official reading
㠫	U+382B	no accepted official reading
㠬	U+382C	no accepted official reading
㠰	U+3830	no accepted official reading
㠳	U+3833	no accepted official reading
㡍	U+384D	no accepted official reading
㡤	U+3864	no accepted official reading
㢇	U+3887	no accepted official reading
㢫	U+38AB	no accepted official reading
㢱	U+38B1	no accepted official reading
㢷	U+38B7	no accepted official reading
㢹	U+38B9	no accepted official reading
㢿	U+38BF	no accepted official reading
㣊	U+38CA	no accepted official reading
㣕	U+38D5	no accepted official reading
㣖	U+38D6	no accepted official reading
㣗	U+38D7	no accepted official reading
㣡	U+38E1	no accepted official reading
㣨	U+38E8	no accepted official reading
㣩	U+38E9	no accepted official reading
㣮	U+38EE	no accepted official reading
㣳	U+38F3	no accepted official reading
㣴	U+38F4	no accepted official reading
㣹	U+38F9	no accepted official reading
㥗	U+3957	no accepted official reading
㥘	U+3958	no accepted official reading
㥙	U+3959	no accepted official reading
㥻	U+397B	no accepted official reading
㦙	U+3999	no accepted official reading
㧠	U+39E0	no accepted official reading
㩂	U+3A42	no accepted official reading
㩑	U+3A51	no accepted official reading
㪲	U+3AB2	no accepted official reading
㫆	U+3AC6	no accepted official reading
㫇	U+3AC7	no accepted official reading
㫌	U+3ACC	no accepted official reading
㫣	U+3AE3	no accepted official reading
㫭	U+3AED	no accepted official reading
㫾	U+3AFE	no accepted official reading
㫿	U+3AFF	no accepted official reading
㬀	U+3B00	no accepted official reading
㬨	U+3B28	no accepted official reading
㬾	U+3B3E	no accepted official reading
㭀	U+3B40	no accepted official reading
㭅	U+3B45	no accepted official reading
㭆	U+3B46	no accepted official reading
㭐	U+3B50	no accepted official reading
㭖	U+3B56	no accepted official reading
㭗	U+3B57	no accepted official reading
㭣	U+3B63	no accepted official reading
㭥	U+3B65	no accepted official reading
㭧	U+3B67	no accepted official reading
㭳	U+3B73	no accepted official reading
㭵	U+3B75	no accepted official reading
㭷	U+3B77	no accepted official reading
㮉	U+3B89	no accepted official reading
㮊	U+3B8A	no accepted official reading
㮠	U+3BA0	no accepted official reading
㮽	U+3BBD	no accepted official reading
㯑	U+3BD1	no accepted official reading
㯒	U+3BD2	no accepted official reading
㯧	U+3BE7	no accepted official reading
㯨	U+3BE8	no accepted official reading
㯼	U+3BFC	no accepted official reading
㰜	U+3C1C	no accepted official reading
㱐	U+3C50	no accepted official reading
㱑	U+3C51	no accepted official reading
㱓	U+3C53	no accepted official reading
㱝	U+3C5D	no accepted official reading
㱷	U+3C77	no accepted official reading
㲐	U+3C90	no accepted official reading
㲮	U+3CAE	no accepted official reading
㳉	U+3CC9	no accepted official reading
㳣	U+3CE3	no accepted official reading
㳯	U+3CEF	no accepted official reading
㳱	U+3CF1	no accepted official reading
㳲	U+3CF2	no accepted official reading
㴌	U+3D0C	no accepted official reading
㴍	U+3D0D	no accepted official reading
㴟	U+3D1F	no accepted official reading
㴢	U+3D22	no accepted official reading
㴣	U+3D23	no accepted official reading
㴤	U+3D24	no accepted official reading
㴺	U+3D3A	no accepted official reading
㵇	U+3D47	no accepted official reading
